"","gamma_prime","n_unobservable","reps","gamma_dblprime","Nhat","p","fit"
"46665",1,30,1945,0,85.3651562551177,0.261621184955008,0
"46666",0.95,30,1945,0.05,75.7039024503045,0.259784053795336,0
"46667",0.9,30,1945,0.1,78.7564045457773,0.224320380908196,0
"46668",0.85,30,1945,0.15,94.2634877637635,0.173273169928521,0
"46669",0.8,30,1945,0.2,98.2782454710072,0.169586530434993,0
"46670",0.75,30,1945,0.25,97.7707175631617,0.180694865569071,0
"46671",0.7,30,1945,0.3,99.3757697341532,0.207964846178837,0
"46672",0.65,30,1945,0.35,90.7753482435122,0.198291720703409,0
"46673",1,75,1945,0,74.4742549587961,0.241694260788018,0
"46674",0.95,75,1945,0.05,92.817441928885,0.215476742133487,0
"46675",0.9,75,1945,0.1,112.915026221291,0.177124344467706,0
"46676",0.85,75,1945,0.15,144.223787149539,0.147918271701004,0
"46677",0.8,75,1945,0.2,109.551238811221,0.170392109394959,0
"46681",1,10,1946,0,98.8300695274448,0.225977108385335,0
"46683",0.9,10,1946,0.1,90.7753482444922,0.198291720700661,0
"46684",0.85,10,1946,0.15,45.8816597537108,0.29786774803063,0
"46687",0.7,10,1946,0.3,90.3320209770325,0.177124344467707,0
"46689",1,30,1946,0,98.4616929423487,0.199739269953261,0
"46690",0.95,30,1946,0.05,116.548027489501,0.183043280893408,0
"46691",0.9,30,1946,0.1,102.376296822684,0.166054062705413,0
"46692",0.85,30,1946,0.15,90.2871947839463,0.188288051708563,0
"46695",0.7,30,1946,0.3,101.957835665111,0.196159518985913,0
"46697",1,75,1946,0,150.62217198873,0.152699962404768,0
"46698",0.95,75,1946,0.05,143.007352543356,0.139852949126875,0
"46700",0.85,75,1946,0.15,152.952873659915,0.135117871094192,0
"46701",0.8,75,1946,0.2,168.496016225287,0.128588599021961,0
"46702",0.75,75,1946,0.25,129.007378500431,0.16536521849611,0
"46703",0.7,75,1946,0.3,126.295146066632,0.158359213500177,0
"46706",0.95,10,1947,0.05,86.4838419171918,0.181151372549655,0
"46707",0.9,10,1947,0.1,109.551238827813,0.170392109358123,0
"46708",0.85,10,1947,0.15,96.0688555970137,0.211653747793584,0
"46709",0.8,10,1947,0.2,79.6170838284798,0.200961894579198,0
"46710",0.75,10,1947,0.25,94.2987424388344,0.194417580332263,0
"46713",1,30,1947,0,124.116046755365,0.150396883879277,0
"46714",0.95,30,1947,0.05,129.007378350948,0.165365218766592,0
"46716",0.85,30,1947,0.15,93.9919422864965,0.184412971079888,0
"46717",0.8,30,1947,0.2,82.1322227374951,0.239451289776094,0
"46719",0.7,30,1947,0.3,102.376297018855,0.166054062325593,0
"46721",1,75,1947,0,131.64026225572,0.187379349174723,0
"46722",0.95,75,1947,0.05,120.382926378648,0.188288051707449,0
"46724",0.85,75,1947,0.15,79.0373325062378,0.189783732889301,0
"46729",1,10,1948,0,120.827934107423,0.171042125476494,0
"46730",0.95,10,1948,0.05,82.13222273752,0.239451289775973,0
"46731",0.9,10,1948,0.1,110.822291855832,0.159414377476467,0
"46732",0.85,10,1948,0.15,94.2634877609299,0.173273169936002,0
"46737",1,30,1948,0,78.7564045271912,0.224320380993487,0
"46738",0.95,30,1948,0.05,80.3667186503976,0.232268617907225,0
"46739",0.9,30,1948,0.1,105.550363167009,0.173692754661257,0
"46743",0.7,30,1948,0.3,75.7039024489307,0.2597840538036,0
"46744",0.65,30,1948,0.35,98.2782454710071,0.169586530434993,0
"46745",1,75,1948,0,88.0673598252908,0.230883875407883,0
"46746",0.95,75,1948,0.05,99.3757697341532,0.207964846178837,0
"46747",0.9,75,1948,0.1,97.7707175631384,0.180694865569134,0
"46748",0.85,75,1948,0.15,141.776330450721,0.157525119054313,0
"46749",0.8,75,1948,0.2,92.8931701432904,0.258361297854092,0
"46752",0.65,75,1948,0.35,128.713909498266,0.147614193944253,0
"46753",1,10,1949,0,89.801162924138,0.23756188270474,0
"46754",0.95,10,1949,0.05,86.481101966482,0.223555584904856,0
"46755",0.9,10,1949,0.1,87.3185676279979,0.202324283901813,0
"46757",0.8,10,1949,0.2,90.2871947503253,0.188288051811808,0
"46758",0.75,10,1949,0.25,98.2782454710071,0.169586530434993,0
"46759",0.7,10,1949,0.3,83.9283968658494,0.206525252246136,0
"46761",1,30,1949,0,76.4019038663624,0.248684902319123,0
"46762",0.95,30,1949,0.05,124.078420561155,0.185366640699611,0
"46763",0.9,30,1949,0.1,100.458398312995,0.232268617907232,0
"46766",0.75,30,1949,0.25,67.6323682875422,0.285859179899438,0
"46769",1,75,1949,0,75.4389939306664,0.194417580438939,0
"46770",0.95,75,1949,0.05,117.310960183524,0.19890156296422,0
