"","recruitmentLevel_bin","p_bin","prop","nocc_bin","0","1"
"241","30-60","0.02-0.04",0.05,"2-3",0.821428571428571,0.178571428571429
"242","30-60","0.02-0.04",0.05,"3-4",0.791666666666667,0.208333333333333
"243","30-60","0.02-0.04",0.05,"4-5",0.8,0.2
"244","30-60","0.02-0.04",0.05,"5-10",0.637096774193548,0.362903225806452
"245","30-60","0.02-0.04",0.05,"10-20",0.443579766536965,0.556420233463035
"246","30-60","0.02-0.04",0.05,"20-30",0.354330708661417,0.645669291338583
"247","30-60","0.02-0.04",0.05,"30-40",0.265402843601896,0.734597156398104
"248","30-60","0.02-0.04",0.05,"40-50",0.175510204081633,0.824489795918367
"249","30-60","0.02-0.04",0.1,"2-3",0.638297872340426,0.361702127659574
"250","30-60","0.02-0.04",0.1,"3-4",0.4,0.6
"251","30-60","0.02-0.04",0.1,"4-5",0.571428571428571,0.428571428571429
"252","30-60","0.02-0.04",0.1,"5-10",0.383928571428571,0.616071428571429
"253","30-60","0.02-0.04",0.1,"10-20",0.188235294117647,0.811764705882353
"254","30-60","0.02-0.04",0.1,"20-30",0.10546875,0.89453125
"255","30-60","0.02-0.04",0.1,"30-40",0.076271186440678,0.923728813559322
"256","30-60","0.02-0.04",0.1,"40-50",0.0260869565217391,0.973913043478261
"257","30-60","0.02-0.04",0.15,"2-3",0.62,0.38
"258","30-60","0.02-0.04",0.15,"3-4",0.551724137931034,0.448275862068966
"259","30-60","0.02-0.04",0.15,"4-5",0.310344827586207,0.689655172413793
"260","30-60","0.02-0.04",0.15,"5-10",0.31496062992126,0.68503937007874
"261","30-60","0.02-0.04",0.15,"10-20",0.131782945736434,0.868217054263566
"262","30-60","0.02-0.04",0.15,"20-30",0.0535714285714286,0.946428571428571
"263","30-60","0.02-0.04",0.15,"30-40",0.0111111111111111,0.988888888888889
"264","30-60","0.02-0.04",0.15,"40-50",0.00448430493273543,0.995515695067265
"265","30-60","0.02-0.04",0.2,"2-3",0.537037037037037,0.462962962962963
"266","30-60","0.02-0.04",0.2,"3-4",0.363636363636364,0.636363636363636
"267","30-60","0.02-0.04",0.2,"4-5",0.25,0.75
"268","30-60","0.02-0.04",0.2,"5-10",0.145985401459854,0.854014598540146
