segment,quantile,val
10,0.31,595.61
10,0.32,595.92
10,0.33,597.61
10,0.34,599.78
10,0.35,601.95
10,0.36,603.8
10,0.37,605.35
10,0.38,606.9
10,0.39,608.36
10,0.4,609.6
10,0.41,610.84
10,0.42,612.06
10,0.43,612.99
10,0.44,613.92
10,0.45,614.85
10,0.46,621.24
10,0.47,628.68
10,0.48,636.12
10,0.49,647.93
10,0.5,662.5
10,0.51,677.07
10,0.52,689
10,0.53,696.75
10,0.54,704.5
10,0.55,711.7
10,0.56,716.04
10,0.57,720.38
10,0.58,724.72
10,0.59,727.32
10,0.6,729.8
10,0.61,732.28
10,0.62,740.26
10,0.63,750.49
10,0.64,760.72
10,0.65,766.9
10,0.66,768.76
10,0.67,770.62
10,0.68,773.44
10,0.69,779.02
10,0.7,784.6
10,0.71,790.3
10,0.72,799.6
10,0.73,808.9
10,0.74,818.2
10,0.75,821.25
10,0.76,822.8
10,0.77,824.35
10,0.78,828.78
10,0.79,835.29
10,0.8,841.8
10,0.81,848.97
10,0.82,857.34
10,0.83,865.71
10,0.84,873.08
10,0.85,873.7
10,0.86,874.32
10,0.87,874.94
10,0.88,878.08
10,0.89,881.49
10,0.9,884.9
10,0.91,886.63
10,0.92,887.56
10,0.93,888.49
10,0.94,892.08
10,0.95,898.9
10,0.96,905.72
10,0.97,914.08
10,0.98,927.72
10,0.99,941.36
10,1,955
11,0,862
11,0.01,862.59
11,0.02,863.18
11,0.03,863.77
11,0.04,864.36
11,0.05,864.95
11,0.06,865.54
11,0.07,866.13
11,0.08,866.72
11,0.09,867.31
11,0.1,867.9
11,0.11,868.49
11,0.12,869.08
11,0.13,869.67
11,0.14,870.26
11,0.15,870.85
11,0.16,871.44
11,0.17,872.03
11,0.18,872.62
11,0.19,873.21
11,0.2,873.8
11,0.21,874.39
11,0.22,874.98
11,0.23,875.57
11,0.24,876.16
11,0.25,876.75
11,0.26,877.34
11,0.27,877.93
11,0.28,878.52
11,0.29,879.11
11,0.3,879.7
11,0.31,880.29
11,0.32,880.88
11,0.33,881.47
11,0.34,882.06
11,0.35,882.65
11,0.36,883.24
11,0.37,883.83
11,0.38,884.42
11,0.39,885.01
11,0.4,885.6
11,0.41,886.19
11,0.42,886.78
11,0.43,887.37
11,0.44,887.96
11,0.45,888.55
11,0.46,889.14
11,0.47,889.73
11,0.48,890.32
11,0.49,890.91
11,0.5,891.5
11,0.51,892.09
11,0.52,892.68
11,0.53,893.27
11,0.54,893.86
11,0.55,894.45
11,0.56,895.04
11,0.57,895.63
11,0.58,896.22
11,0.59,896.81
11,0.6,897.4
11,0.61,897.99
11,0.62,898.58
11,0.63,899.17
11,0.64,899.76
11,0.65,900.35
11,0.66,900.94
11,0.67,901.53
11,0.68,902.12
11,0.69,902.71
11,0.7,903.3
11,0.71,903.89
11,0.72,904.48
11,0.73,905.07
11,0.74,905.66
11,0.75,906.25
11,0.76,906.84
11,0.77,907.43
11,0.78,908.02
11,0.79,908.61
11,0.8,909.2
11,0.81,909.79
11,0.82,910.38
11,0.83,910.97
11,0.84,911.56
11,0.85,912.15
11,0.86,912.74
11,0.87,913.33
11,0.88,913.92
11,0.89,914.51
11,0.9,915.1
11,0.91,915.69
11,0.92,916.28
11,0.93,916.87
11,0.94,917.46
11,0.95,918.05
11,0.96,918.64
11,0.97,919.23
11,0.98,919.82
11,0.99,920.41
11,1,921
13,0,305
13,0.01,402.28
13,0.02,469.6
13,0.03,498.4
13,0.04,503.68
13,0.05,505
13,0.06,505
13,0.07,509.8
13,0.08,515.48
13,0.09,518.04
13,0.1,520.2
13,0.11,522.04
13,0.12,522.68
13,0.13,525.24
13,0.14,529.72
13,0.15,530
13,0.16,530.48
13,0.17,531.76
13,0.18,532.52
13,0.19,533.32
13,0.2,534.6
13,0.21,535
13,0.22,535.16
13,0.23,536.44
13,0.24,538.08
13,0.25,540
13,0.26,546.4
13,0.27,550.84
13,0.28,552.76
13,0.29,553
13,0.3,553.8
13,0.31,556.36
13,0.32,560.84
13,0.33,565
13,0.34,565
13,0.35,565.8
13,0.36,567.04
13,0.37,567.68
13,0.38,568
13,0.39,568
13,0.4,569.8
13,0.41,572.92
13,0.42,578.04
13,0.43,582.12
13,0.44,585.96
13,0.45,589.8
13,0.46,592.32
13,0.47,594.48
13,0.48,598.32
13,0.49,600
13,0.5,600
13,0.51,601.28
13,0.52,602.84
13,0.53,604.76
13,0.54,605
13,0.55,605.2
13,0.56,605.84
13,0.57,609.84
13,0.58,614.12
13,0.59,614.76
13,0.6,615.8
13,0.61,617.04
13,0.62,617.68
13,0.63,618.32
13,0.64,618.96
13,0.65,622.6
13,0.66,625.96
13,0.67,628.52
13,0.68,630.04
13,0.69,631.64
13,0.7,634.2
13,0.71,646
13,0.72,660.08
13,0.73,660.72
13,0.74,669.64
13,0.75,685
13,0.76,689.48
13,0.77,698.44
13,0.78,713.16
13,0.79,731.8
13,0.8,750.8
13,0.81,769.36
13,0.82,796.08
13,0.83,822.76
13,0.84,837.48
13,0.85,853.8
13,0.86,870.56
13,0.87,879.52
13,0.88,884.64
13,0.89,885.92
13,0.9,892.6
13,0.91,897.72
13,0.92,899.64
13,0.93,913
13,0.94,928.04
13,0.95,940.2
13,0.96,962.04
13,0.97,987
13,0.98,1003
13,0.99,1015.4
13,1,1025
14,0,525
14,0.01,525.34
14,0.02,525.68
14,0.03,526.44
14,0.04,533.92
14,0.05,541.4
14,0.06,549.04
14,0.07,557.88
14,0.08,566.72
14,0.09,574
14,0.1,574
14,0.11,574
14,0.12,575.68
14,0.13,582.82
14,0.14,589.96
14,0.15,595.1
14,0.16,595.44
14,0.17,595.78
14,0.18,596.96
14,0.19,599.68
14,0.2,602.4
14,0.21,604.14
14,0.22,604.48
14,0.23,604.82
14,0.24,605
14,0.25,605
14,0.26,605
14,0.27,605.36
14,0.28,606.04
14,0.29,606.72
14,0.3,608.4
14,0.31,610.78
14,0.32,613.16
14,0.33,615.98
14,0.34,619.04
14,0.35,622.1
14,0.36,623.48
14,0.37,624.16
14,0.38,624.84
14,0.39,625
14,0.4,625
14,0.41,625
14,0.42,625
14,0.43,625
14,0.44,625
14,0.45,625.6
14,0.46,626.28
14,0.47,626.96
14,0.48,632.76
14,0.49,638.88
14,0.5,645
14,0.51,647.04
14,0.52,649.08
14,0.53,651.02
14,0.54,651.36
14,0.55,651.7
14,0.56,652.32
14,0.57,655.04
14,0.58,657.76
14,0.59,660.42
14,0.6,662.8
14,0.61,665.18
14,0.62,669.8
14,0.63,681.7
14,0.64,693.6
14,0.65,702.3
14,0.66,703.32
14,0.67,704.34
14,0.68,706.2
14,0.69,709.6
14,0.7,713
14,0.71,717.8
14,0.72,724.6
14,0.73,731.4
14,0.74,735.8
14,0.75,737.5
14,0.76,739.2
14,0.77,747.2
14,0.78,760.8
14,0.79,774.4
14,0.8,780.8
14,0.81,782.16
14,0.82,783.52
14,0.83,785.76
14,0.84,788.48
14,0.85,791.2
14,0.86,799.92
14,0.87,811.14
14,0.88,822.36
14,0.89,834.1
14,0.9,846
14,0.91,857.9
14,0.92,864.2
14,0.93,869.3
14,0.94,874.4
14,0.95,875.9
14,0.96,876.92
14,0.97,877.94
14,0.98,891.44
14,0.99,905.72
14,1,920
22,0,1363
22,0.01,1365.94
22,0.02,1368.88
22,0.03,1371.82
22,0.04,1374.76
22,0.05,1377.7
22,0.06,1380.64
22,0.07,1383.58
22,0.08,1386.52
22,0.09,1389.46
22,0.1,1392.4
22,0.11,1395.34
22,0.12,1398.28
22,0.13,1401.22
22,0.14,1404.16
22,0.15,1405.25
22,0.16,1405.6
22,0.17,1405.95
22,0.18,1406.3
22,0.19,1406.65
22,0.2,1407
22,0.21,1407.35
22,0.22,1407.7
22,0.23,1408.05
22,0.24,1408.4
22,0.25,1408.75
22,0.26,1409.1
22,0.27,1409.45
22,0.28,1409.8
22,0.29,1410.15
22,0.3,1410.5
22,0.31,1410.85
22,0.32,1411.2
22,0.33,1411.55
22,0.34,1411.9
22,0.35,1412.25
22,0.36,1412.6
22,0.37,1412.95
22,0.38,1413.3
22,0.39,1413.65
22,0.4,1414
22,0.41,1414.35
22,0.42,1414.7
22,0.43,1415.3
22,0.44,1417.4
22,0.45,1419.5
22,0.46,1421.6
22,0.47,1423.7
22,0.48,1425.8
22,0.49,1427.9
22,0.5,1430
22,0.51,1432.1
22,0.52,1434.2
22,0.53,1436.3
22,0.54,1438.4
22,0.55,1440.5
22,0.56,1442.6
22,0.57,1444.7
22,0.58,1447.28
22,0.59,1449.94
22,0.6,1452.6
22,0.61,1455.26
22,0.62,1457.92
22,0.63,1460.58
22,0.64,1463.24
22,0.65,1465.9
22,0.66,1468.56
22,0.67,1471.22
22,0.68,1473.88
22,0.69,1476.54
22,0.7,1479.2
22,0.71,1481.86
22,0.72,1483.32
22,0.73,1483.88
22,0.74,1484.44
22,0.75,1485
22,0.76,1485.56
22,0.77,1486.12
22,0.78,1486.68
22,0.79,1487.24
22,0.8,1487.8
22,0.81,1488.36
22,0.82,1488.92
22,0.83,1489.48
22,0.84,1490.04
22,0.85,1490.6
22,0.86,1491.68
22,0.87,1494.06
22,0.88,1496.44
22,0.89,1498.82
22,0.9,1501.2
22,0.91,1503.58
22,0.92,1505.96
22,0.93,1508.34
22,0.94,1510.72
22,0.95,1513.1
22,0.96,1515.48
22,0.97,1517.86
22,0.98,1520.24
22,0.99,1522.62
22,1,1525
